name,vehicles,trips,optimal,best,diff,coverage,timeout
R1a,3,24,190.02,-,-,-,-
R2a,5,48,301.34,-,-,-,-
R3a,7,72,532,,-,-,-
R4a,9,96,626.93,-,-,-,-
R5a,11,120,570.25,-,-,-,-
R6a,13,144,785.26,-,-,-,-
R7a,4,36,291.71,-,-,-,-
R8a,6,72,487.84,-,-,-,-
R9a,8,108,658.31,-,-,-,-
R10a,10,144,851.82,-,-,-,-
R1b,3,24,164.46,-,-,-,-
R2b,5,48,295.66,-,-,-,-
R3b,7,72,484.83,-,-,-,-
R4b,9,96,529.33,-,-,-,-
R5b,11,120,577.29,-,-,-,-
R6b,13,144,730.67,-,-,-,-
R7b,4,36,248.21,-,-,-,-
R8b,6,72,458.73,-,-,-,-
R9b,8,108,593.49,-,-,-,-
R10b,10,144,785.68,-,-,-,-
